originalKdmName,ourGameName,auditDisplayName,methodToMake,sourceExpansion,sourceLocation,sourceMonsterOrEvent,ourItemType,ourSlot,ourWeaponType,ourHands,ourKeywords,card1Text,card2Text,card3Text,card4Text,passiveEffects,statusAndMechanicsTouched,weakPointRole,harvestRole,partyRole,riskOrDrawback,implementationComplexity,sourceUrl,verificationStatus
OXIDIZED LANTERN DAGGER,Oxidized Lantern Knife,Oxidized Lantern Knife (OXIDIZED LANTERN DAGGER),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone,Base Game,Exhausted Lantern Hoard,Settlement,weapon,weapon,dagger,1,"Quick, Precise, Harvest","Oxidized Lantern Knife Feint — Cost 0 Attack. [Damage: 2; Break: 4; Status: Apply Marked if targeting a weak point] Deal 2 damage. If targeting a fragile weak point, deal +2 break damage. Apply Marked if targeting a weak point.","Oxidized Lantern Knife Carve — Cost 1 Attack. [Damage: 4; Break: 3] Deal 4 damage. If the target is Marked, improve harvest quality one step on a weak-point break. If this is the second card this survivor played this turn, draw 1 then discard 1. If targeting a Head, Eye or Organ weak point, improve harvest quality one step on a break.","Oxidized Lantern Knife Close Work — Cost 1 Skill. [Status: Marked] Mark the selected weak point and gain 1 Survival. If this survivor is wounded, draw 1.",,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,Harvest,Uses dagger weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
OXIDIZED LANTERN GLAIVE,Kindled Oxidized Lantern Glaive,Kindled Oxidized Lantern Glaive (OXIDIZED LANTERN GLAIVE),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone; 1 Hide,Base Game,Exhausted Lantern Hoard,Settlement,weapon,weapon,spear,2,"Reach, Defensive, WeakPoint",Kindled Oxidized Lantern Set Spear — Cost 1 Skill. [Block: 5] Gain 5 block. Leg/Body weak-point failed risks are reduced once this turn.,"Kindled Oxidized Lantern Thrust — Cost 1 Attack. [Damage: 5; Break: 7] Deal 5 damage. Against Leg, Body or Tail weak points, deal +4 break damage.","Kindled Oxidized Lantern Keep Away — Cost 1 Attack. [Damage: 4; Status: Snared 1] Deal 4 damage and apply Snared 1. If Snared was already present, draw 1.",,"Control Reach: once per combat, failed-break risk is reduced against legs/wings/tail/organs weak points.",WeakPoint,Uses spear weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
OXIDIZED LANTERN HELM,Oxidized Lantern Crown,Oxidized Lantern Crown (OXIDIZED LANTERN HELM),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone; 1 Hide,Base Game,Exhausted Lantern Hoard,Settlement,head,head,armor,0,"Defensive, Party, WoundCare",Oxidized Lantern Crown Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Oxidized Lantern Crown Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
OXIDIZED LANTERN SWORD,Oxidized Lantern Blade,Oxidized Lantern Blade (OXIDIZED LANTERN SWORD),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone,Base Game,Exhausted Lantern Hoard,Settlement,weapon,weapon,sword,1,"Precise, Marking, Counter","Oxidized Lantern Blade Cut — Cost 1 Attack. [Damage: 5] Deal 5 damage. If this is your second attack this turn, deal +2.","Oxidized Lantern Blade Marking Stroke — Cost 1 Attack. [Damage: 4; Break: 3; Status: Marked] Deal 4 damage and apply Marked. If targeting a weak point, +2 break damage.",Oxidized Lantern Blade Measured Finish — Cost 2 Attack. [Damage: 9 / +4 conditional] Deal 9 damage. Deal +4 if the monster is below half HP or the weak point is Open.,,Adds a balanced Marked-payoff weapon card package; weapon proficiency improves its weak-point and harvest role.,,Uses sword weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
OXIDIZED RING WHIP,Oxidized Hooked Whip,Oxidized Hooked Whip (OXIDIZED RING WHIP),Unlock: crafted | Location: Exhausted Lantern Hoard | Source: Settlement | Cost: 1 Bone,Base Game,Exhausted Lantern Hoard,Settlement,weapon,weapon,whip,1,"Reach, Marking, WeakPoint",Oxidized Hooked Whip Snare — Cost 1 Attack. [Damage: 4; Break: 6; Status: Snared 2] Deal 4 damage and apply Snared 2. Tongue/Tail/Limb weak points take +3 break damage.,"Oxidized Hooked Whip Yank Open — Cost 1 Skill. [Status: Marked/Open] Mark a Limb, Tongue, Tail or Wing weak point and make it Open until the end of this survivor's turn.",Oxidized Hooked Whip Lash Back — Cost 1 Attack. [Damage: 3 x2 conditional] Deal 3 damage twice if the target is Marked; otherwise deal 4 once.,,"Control Reach: once per combat, failed-break risk is reduced against legs/wings/tail/organs weak points.",WeakPoint,Uses whip weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",medium,References - PDF/Base Game/KDM - Exhausted Lantern Hoard.pdf,verified
PENUMBRA BOW,Gutter Penumbra Bow,Gutter Penumbra Bow (PENUMBRA BOW),"Unlock: crafted, quarryDiscovery | Location: Dark Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Fen's Fan Expansions / Black Lion,Dark Catarium,White Lion,weapon,weapon,bow,2,"Ranged, Marking, Precise, Predator","Gutter Penumbra Bow Aim — Cost 0 Skill. [Status: Marked; Exhaust] Mark a weak point. If it is Head, Eye or Wing, preview its failed-break risk more clearly this turn.","Gutter Penumbra Bow Shot — Cost 1 Attack. [Damage: 4; Break: 5] Deal 4 ranged damage. Against a Marked weak point, deal +3 break damage and ignore the first failed-break counter-risk.",Gutter Penumbra Bow Pinning Volley — Cost 2 Attack. [Damage: 3 x2; Status: Snared 1] Deal 3 damage twice. Apply Snared 1 if either hit damages HP.,,Precision Harvest: first clean break against a fragile head/eye/organ weak point improves harvest quality odds.,,Uses bow weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Black Lion/KDM - Dark Catarium.pdf,verified
PERFECT SLAYER,Mourning Perfect Slayer,Mourning Perfect Slayer (PERFECT SLAYER),"Unlock: crafted, rareHarvestOrEvent | Location: Blacksmith | Source: Settlement | Event: promo/vignette/settlement/hunt event table | Cost: 1 Bone; 1 Hide; 1 Sinew; 1 Organ",Base Game; Community Edition 2.0; Fen's Fan Expansions / Fen's Dagger Emporium,Blacksmith,Settlement,weapon,weapon,grandWeapon,2,"Heavy, Brutal, Guardbreaker","Mourning Perfect Slayer Hew — Cost 2 Attack. [Damage: 12; Break: 7] Deal 12 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Mourning Perfect Slayer Split — Cost 1 Attack. [Damage: 10; Status: Bleed 2] Deal 10 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Mourning Perfect Slayer Overhead — Cost 2 Attack. [Damage: 15; Exhaust] Deal 15 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,,Uses grandWeapon weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",high,References - PDF/Base Game/KDM - Blacksmith.pdf; References - PDF/Community Edition 2.0/KDM - Blacksmith (CE 2.0).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Dagger Emporium).pdf; References - PDF/Fen's Fan Expansions/Fen's Dagger Emporium/KDM - Blacksmith (Fen's Dagger Emporium).pdf,verified
PHASE AXE,Dusk Phase Axe,Dusk Phase Axe (PHASE AXE),"Unlock: crafted, quarryDiscovery | Location: Dark Catarium | Source: White Lion | Cost: 1 Pale Lion Hide; 1 Pale Lion Claw; 1 Pale Lion Sinew",Fen's Fan Expansions / Black Lion,Dark Catarium,White Lion,weapon,weapon,axe,1,"Heavy, Brutal, Harvest, Predator","Dusk Axe Hew — Cost 1 Attack. [Damage: 8; Break: 6] Deal 8 damage. If targeting Body/Hide/Shell, deal +3 break damage. Fragile overkill worsens harvest quality.",Dusk Axe Split — Cost 1 Attack. [Damage: 6; Status: Bleed 2] Deal 6 damage. Apply Bleed 2 if this damages HP. Bleed decays after dealing damage each turn.,"Dusk Axe Overhead — Cost 2 Attack. [Damage: 11; Exhaust] Deal 11 damage. If the monster has block, remove all block first. Exhaust.",,Breaker: +2 break damage against hide/shell/bone/horn weak points; fragile overkill risk still applies.,Harvest,Uses axe weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",medium,References - PDF/Fen's Fan Expansions/Black Lion/KDM - Dark Catarium.pdf,verified
PHOENIX ARMOR SET,Ashwing Armor Set,Ashwing Armor Set (PHOENIX ARMOR SET),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather; 1 Phoenix Ash; 1 Time Bone",Base Game; Community Edition 2.0,Plumery,Phoenix,set,set,armor,0,"Defensive, Party, WoundCare, Strange",Ashwing Armor Set Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ashwing Armor Set Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Strange, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf,verified
PHOENIX ARMOR SET (VARIANT),Ashwing Armor Set (Variant),Ashwing Armor Set (Variant) (PHOENIX ARMOR SET (VARIANT)),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather; 1 Phoenix Ash; 1 Time Bone",Community Edition 2.0,Plumery,Phoenix,set,set,armor,0,"Defensive, Party, WoundCare, Strange",Ashwing Armor Set Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ashwing Armor Set Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Strange, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"High power or rare versions add Panic, fragile harvest risk, support tempo cost, or reduced direct monster HP damage when chasing parts.",low,References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
PHOENIX FAULDS,Ashwing Faulds,Ashwing Faulds (PHOENIX FAULDS),"Unlock: crafted, quarryDiscovery | Location: Plumery | Source: Phoenix | Cost: 1 Ash Feather; 1 Phoenix Ash",Base Game; Community Edition 2.0,Plumery,Phoenix,body,waist,armor,0,"Defensive, Party, WoundCare, Strange",Ashwing Faulds Bind Wounds — Cost 0 Skill. [Exhaust] Choose a survivor. Remove Bleed 3 or heal 2 HP after combat. Exhaust.,"Ashwing Faulds Field Dress — Cost 1 Skill. [Block: 4] Gain 4 block. If this survivor has a light wound, downgrade it after combat.",,,"Wound Care: once per hunt after combat, downgrade one light wound or remove Bleed 2 from a chosen survivor.","Party, Strange, WoundCare",Uses armor weak-point suitability; preferred targets depend on source monster and item keywords.,Improves clean/messy/ruined harvest odds when matched to the correct weak point; poor matches can ruin fragile parts.,Designed to give one survivor a distinct role in a four-person party rather than duplicate generic damage.,"Low risk; primary drawback is deck space, resource cost, or situational timing.",low,References - PDF/Base Game/KDM - Plumery.pdf; References - PDF/Community Edition 2.0/KDM - Plumery (CE 2.0).pdf; References - PDF/Community Edition 2.0/Variant/KDM - Plumery (CE 2.0) - Variant Armor Bonus.pdf,verified
